feature,coefficient,absolute_coefficient,direction
categorical__country_PRT,1.7731948344041226,1.7731948344041226,higher cancellation score
categorical__agent_79,-1.7725005232918138,1.7725005232918138,lower cancellation score
categorical__country_NGA,1.7473504446835235,1.7473504446835235,higher cancellation score
categorical__country_SRB,-1.695590426008162,1.695590426008162,lower cancellation score
categorical__country_AGO,1.6934941993878676,1.6934941993878676,higher cancellation score
categorical__agent_16,-1.6758509241044097,1.6758509241044097,lower cancellation score
categorical__agent_5,-1.6529084397199159,1.6529084397199159,lower cancellation score
categorical__agent_241,-1.6496409760759374,1.6496409760759374,lower cancellation score
categorical__agent_75,-1.6265958984951345,1.6265958984951345,lower cancellation score
categorical__country_IDN,1.611879018043078,1.611879018043078,higher cancellation score
categorical__meal_Undefined,-1.6004374040568279,1.6004374040568279,lower cancellation score
categorical__country_LTU,-1.58468344589091,1.58468344589091,lower cancellation score
categorical__agent_40,-1.579822494369028,1.579822494369028,lower cancellation score
categorical__country_ISL,-1.5686726156047859,1.5686726156047859,lower cancellation score
categorical__agent_26,-1.5639094253065866,1.5639094253065866,lower cancellation score
categorical__agent_32,-1.545308627839195,1.545308627839195,lower cancellation score
categorical__agent_314,-1.4787281711107434,1.4787281711107434,lower cancellation score
categorical__agent_134,1.4738255906683693,1.4738255906683693,higher cancellation score
categorical__deposit_type_Refundable,-1.4600918330585784,1.4600918330585784,lower cancellation score
categorical__country_MAC,1.4579386872731337,1.4579386872731337,higher cancellation score
categorical__agent_132,-1.4576544668720224,1.4576544668720224,lower cancellation score
categorical__agent_191,1.4566180631575179,1.4566180631575179,higher cancellation score
categorical__agent_121,-1.4393822893892128,1.4393822893892128,lower cancellation score
categorical__agent_288,-1.4269580249927014,1.4269580249927014,lower cancellation score
categorical__agent_173,-1.4151268104372505,1.4151268104372505,lower cancellation score
categorical__agent_251,-1.4117684506572687,1.4117684506572687,lower cancellation score
categorical__agent_243,-1.3979818032309117,1.3979818032309117,lower cancellation score
categorical__agent_82,-1.3805752931684074,1.3805752931684074,lower cancellation score
categorical__country_SAU,1.3675729870542057,1.3675729870542057,higher cancellation score
categorical__agent_104,-1.3655538785283676,1.3655538785283676,lower cancellation score
categorical__agent_464,-1.328480059652372,1.328480059652372,lower cancellation score
categorical__agent_305,-1.3213758464704854,1.3213758464704854,lower cancellation score
categorical__agent_281,1.3130387310461993,1.3130387310461993,higher cancellation score
categorical__agent_29,-1.3127714302519935,1.3127714302519935,lower cancellation score
categorical__agent_143,-1.2898774037870828,1.2898774037870828,lower cancellation score
